rank,model,group,d3_rms_mean_m,d3_rms_std_m,d3_rms_min_m,d3_rms_max_m,gain_mean_pct,gain_std_pct,rep_n
1,NavTCN,deep,6.41960114769983,2.602000862094614,3.438363545423861,8.233600924504266,54.577268099656116,21.546676448253827,3
2,Huber,classic,10.109563733672841,5.632444819041926,4.453462233536952,15.7180499720542,28.468452706194114,24.136921975999055,3
3,TCN,deep,10.528263741054106,5.851341739492626,7.021983019089122,17.28317346661261,25.50588575781515,7.0682115830382894,3
4,GRU,deep,13.072576953695126,5.373271544584719,7.830419688605359,18.56800551237875,7.503263122964262,24.70476613665289,3
5,baseline,classic,14.13301419602908,8.510545534580242,8.338005790961194,23.90385772417893,0.0,0.0,3
6,MSTCN,deep,17.30013156953744,5.727274559522196,13.42511864295048,23.87874565862868,-22.409355354629295,31.50157399299077,3
7,Hatch,classic,36.00562971946503,22.104487778012714,10.70137949017174,51.55250355866382,-154.76256671122175,166.63834776193002,3
