model,d3_rms_mean_m,d3_rms_std_m,d3_rms_min_m,d3_rms_max_m,gain_mean_pct,gain_std_pct,delta_full_mean_m,delta_full_std_m,rep_n
baseline,14.13301419602908,8.510545534580242,8.338005790961194,23.90385772417893,0.0,0.0,7.713413048329254,6.988557360718721,3
full,6.41960114769983,2.602000862094614,3.438363545423861,8.233600924504266,54.577268099656116,21.546676448253827,0.0,0.0,3
no_corr,11.727156828982316,5.805206203102115,6.423236741333969,17.92901022872798,17.022960096670193,17.693939321278688,5.3075556812824844,3.8021734029145375,3
no_slow,11.489973991772123,6.0187871150794665,5.873393597898449,17.84316430662653,18.70117844358754,19.35538943510056,5.070372844072291,3.9480323334301426,3
no_gain,6.801234853115449,4.729423314211083,3.231201475653644,12.16516075386331,51.876968643911944,6.596947187425383,0.38163370541561764,3.29521993899238,3
no_sig,6.388053808386076,3.243430718575393,2.644250675649999,8.348252620946424,54.80048544647389,27.259736877300902,-0.03154733931375553,0.7009950078623239,3
no_post_res,7.815293804183263,3.0878341469570154,5.866577696795177,11.37549772890644,44.70186121811788,13.537433306031241,1.3956926564834322,2.705051969117926,3
no_batch,7.876416767881827,2.2089037905428386,5.35119642653136,9.449997397920805,44.26937765268186,23.696955506658995,1.4568156201819955,0.3951174858335159,3
